member_id,first_name,last_name,email,position,t_shirt_size,phone,zip,link_to_major
rec1x5zBFIqoOuPW8,Angela,Sanders,angela.sanders@lpu.edu,Member,Medium,(651) 928-4507,55108,recxK3MHQFbR9J5uO
rec280Sk7o31iG0Tx,Grant,Gilmour,grant.gilmour@lpu.edu,Member,X-Large,403-555-1310,29440,rec7BxKpjJ7bNph3O
rec28ORZgcm1dtqBZ,Luisa,Guidi,luisa.guidi@lpu.edu,Member,Medium,442-555-5882,10002,recdIBgeU38UbV2sy
rec2a03QXbFQAUZ7X,Randy,Woodard,randy.woodard@lpu.edu,Inactive,X-Large,490-555-8460,8021,
rec3pH4DxMcWHMRB7,Connor,Hilton,connor.hilton@lpu.edu,Member,X-Large,454-555-7970,48236,recaJdSK83k6ekRJL
rec4BLdZHS2Blfp4v,Sacha,Harrison,sacha.harrison@lpu.edu,President,Large,840-555-4781,7080,recCk8lCDOTRp6rKN
rec4O9rmGnLx3j8vt,Christof,Nielson,christof.nielson@lpu.edu,Member,X-Large,(701) 932-1903,58102,rectOU2QnznthfWv7
rec75vvFxgYtHmqxY,Carlo,Jacobs,carlo.jacobs@lpu.edu,Member,Medium,928-555-2577,11104,recf3mPmWq4JXKf4L
recD078PnS3x2doBe,Phillip,Cullen,phillip.cullen@lpu.edu,Vice President,X-Large,905-555-5035,1020,rec9CqGCGV8Y8rOSY
recEFd8s6pkrTt4Pz,Matthew,Snay,matt.snay@lpu.edu,Member,Large,260-555-4328,7002,recxRBSgVYeSEGvyo
recEymrwCUKxiiosI,Adele,Deleon,adele.deleon@lpu.edu,Member,Medium,475-555-3802,22101,recR2UFppcwddeAkz
recJMazpPVexyFYTc,Casey,Mason,casey.mason@lpu.edu,Member,Large,676-555-7843,14606,recuN6taqCVkaZMZS
recL4aEZBZoPk9NYx,Trent,Smith,trent.smith@lpu.edu,Member,X-Large,397-555-3444,60559,recAiT3yTABWypvHu
recL94zpn6Xh6kQii,Rafi,Mckee,rafi.mckee@lpu.edu,Member,Medium,954-555-6240,76901,recObV24Ass2ouQHK
recP6DJPyi5donvXL,Katy,Balentine,katy.balentine@lpu.edu,Member,Large,716-555-3845,12203,rec1N0upiVLy5esTO
recQaxyXBQG5BBtD0,Dean,O'Reilly,dean.o'reilly@lpu.edu,Member,Medium,809-555-3360,28092,recXLfKqMqRArcKNg
recT92PyyZCGq1R68,Emily,Jaquith,emily.jaquith@lpu.edu,Member,Small,540-555-4152,79106,recRA9IxLl6eKPsJX
recTjHY5xXhvkCdVT,Edwardo,Ing,edwardo.ing@lpu.edu,Member,Medium,109-555-7016,47711,rec09LedkREyskCNv
recUdRhbhcEO1Hk5r,Amy,Firth,amy.firth@lpu.edu,Member,Small,768-555-2323,21042,recIzqYuV3wMONTgB
recVsoJJHFI8bgtfw,Mccauley,Nash,mccauley.nash@lpu.edu,Member,Large,951-555-6777,47905,recB3VldnYdFtttTk
recWh2lJVOT6HjChK,Tyler,Hewitt,tyler.hewitt@lpu.edu,Member,Large,176-555-6720,60089,reclQ8BVvj2w4cQ4V
recZ4PkGERzl9ziHO,Maya,Mclean,maya.mclean@lpu.edu,Member,Medium,435-555-8128,11554,reclQ8BVvj2w4cQ4V
recZN8afUWlE5fZHG,Brent,Thomason,brent.thomason@lpu.edu,Member,Large,801-344-2203,84003,recT9LoDnC8ZvdPqM
reccSUPwy30AeZLEb,Vincent,Ratcliffe,vincent.ratcliffe@lpu.edu,Inactive,Large,894-555-4529,35640,recKJHO1P6ZC5m567
reccW7q1KkhSKZsea,Adela,O'Gallagher,adela.o'gallagher@lpu.edu,Member,Medium,887-555-7733,46123,recVNDNQrJxsXPFXa
recf4UKTfipCzgcSA,Garrett,Gerke,garrett.gerke@lpu.edu,Member,Large,738-555-2267,21801,recKJHO1P6ZC5m567
recjHj4BS5A541n9v,Keaton,Mccray,keaton.mccray@lpu.edu,Inactive,X-Large,616-555-3916,37110,recxRBSgVYeSEGvyo
reco0mr8dXTgs5wWA,Keith,Dunlop,keith.dunlap@lpu.edu,Member,Large,394-555-4909,98290,recVeoVlIsO6k6iUM
recro8T1MPMwRadVH,Elijah,Allen,elijah.allen@lpu.edu,Treasurer,X-Large,724-555-5721,21784,recObV24Ass2ouQHK
recsTO4OZIF9rbubk,Madelyn,Nicholson,madelyn.nicholson@lpu.edu,Member,Medium,466-555-3483,27511,recKJHO1P6ZC5m567
recttfySfQnYb68u3,Annabella,Warren,annabella.warren@lpu.edu,Secretary,Large,727-555-2732,60047,rectez0Ce1okUhv8w
recuSfhAZIlKba4s2,Kevin,Pierce,kevin.pierce@lpu.edu,Member,Large,933-555-4147,92307,recdIBgeU38UbV2sy
recxBj3tjKTGHqucS,Sherri,Ramsey,sherri.ramsey@lpu.edu,Member,Large,942-555-1132,8861,recVYIFAwjT91pnv7
